zip_code,distance_min,count_within_20,count_within_60,count_within_100
00740,1.6531123677938513,38,145,232
00741,0.3164987282527531,56,172,243
00745,1.7145603765772133,56,175,243
00751,0.534591017326795,52,222,243
00754,1.8221379608600101,76,193,243
00757,0.5760838789740644,52,238,243
00765,1.1383528892133385,7,117,205
00766,0.4794853152253872,62,240,243
00767,0.2529658974046759,60,184,243
00769,1.9215073216548004,67,239,243
00771,0.6021860938635472,75,184,243
00772,1.7433453449841971,48,185,243
00773,0.8350644391798959,44,164,240
00775,1.1516013672493843,3,92,190
00777,0.5331787968586779,78,188,243
00778,0.7686571669904917,86,195,243
00780,1.541622529494921,53,235,243
00782,0.411170130157234,80,225,243
00783,2.7131886467174384,71,238,243
00784,1.6883268270056027,58,207,243
00786,2.599108264589638,80,225,243
00791,1.0421392210787987,66,180,243
00794,1.0552219180973357,86,239,243
00795,0.5688054033900475,54,239,243
00801,21.77147305475414,0,36,140
00802,25.018335426097664,0,21,134
00820,56.278578197638986,0,3,78
00823,54.31768122143617,0,3,87
00824,56.38125082736766,0,3,77
00830,37.2519483995309,0,5,102
00831,33.92616888250193,0,9,113
00840,47.93475500307481,0,3,108
00841,49.04823947363552,0,3,98
00850,50.457632255275165,0,3,95
00851,52.61798417252993,0,3,91
00901,2.7802972205123546,55,203,243
00906,3.2802984095372163,54,203,243
00907,3.4875259281407636,58,201,243
00909,2.617611751627893,62,201,243
00911,3.300031921727235,61,200,243
00912,2.8724466384253255,62,201,243
00913,3.4686239790557765,58,200,243
00915,2.588956783059303,60,200,243
00917,1.465536262321234,61,201,243
00918,1.1999841305880656,63,202,243
00920,1.7623028278461697,65,204,243
00921,1.7321534625868156,66,206,243
00923,1.6826680504645974,65,200,243
00924,2.2487296331359796,66,197,243
00925,0.884921792884294,65,202,243
00926,2.8912584127842393,69,203,243
00927,1.2144853623278962,67,203,243
00934,2.0150947654015945,65,213,243
00936,0.875768089240109,65,203,243
00949,1.031493668140617,57,218,243
00950,1.0911234628059647,49,220,243
00951,1.0717662042182936,55,226,243
00952,0.07461491611663952,61,216,243
00953,0.5370333615184983,62,231,243
00956,4.025951296504646,71,216,243
00957,1.7638629978628355,67,217,243
00959,0.6814332773380413,69,215,243
00960,1.7509611495566975,63,213,243
00961,1.4351380230309025,61,215,243
00962,0.6916422981143723,58,213,243
00965,1.6659682631311212,60,208,243
00966,1.2428449047083545,67,210,243
00968,1.722315175624547,65,207,243
00969,1.1442877154837683,70,210,243
00971,4.320605042996059,74,211,243
00976,1.9591540644937147,76,196,243
00979,3.5620444957002557,58,198,243
00982,0.9347028558917468,63,195,243
00983,0.7772692321372853,61,194,243
00985,2.086177147317693,59,191,243
00987,2.8700243604262594,70,191,243
01001,1.3996957288778364,26,149,628
01002,2.464378277774195,14,124,425
01003,1.002269497877008,14,120,422
01005,12.963196420280868,7,140,368
01007,7.728664386389163,13,131,447
01008,10.789571812443139,10,148,640
01009,2.0543686468676796,17,142,461
