ZIP,LAT,LONG
1529,42.036642,-71.578779
1531,42.326183,-72.133431
1532,42.323342,-71.646236
1534,42.138896,-71.645003
1535,42.267564,-72.066876
1536,42.231309,-71.692642
1537,42.158966,-71.897051
1540,42.113727,-71.86085
1541,42.454125,-71.87754
1542,42.204251,-71.908907
1543,42.388285,-71.969865
1545,42.284767,-71.714228
1550,42.059737,-72.033908
1560,42.175395,-71.674223
1561,42.445825,-71.688484
1562,42.247211,-71.991867
1564,42.447924,-71.776045
1566,42.103214,-72.079545
1568,42.177529,-71.606322
1569,42.055921,-71.631128
1570,42.049253,-71.846219
1571,42.053778,-71.935075
1581,42.268426,-71.613309
1583,42.375357,-71.789363
1585,42.236908,-72.162221
1588,42.116108,-71.664614
1590,42.132051,-71.750318
1602,42.269189,-71.850728
1603,42.243826,-71.843569
1604,42.253485,-71.767932
1605,42.289683,-71.787793
1606,42.313887,-71.794185
1607,42.225974,-71.788894
1608,42.26209,-71.801428
1609,42.285114,-71.829987
1610,42.247049,-71.808366
1611,42.240977,-71.877035
1612,42.296798,-71.928991
1701,42.319587,-71.4428
1702,42.282379,-71.436623
1718,42.522816,-71.430271
1719,42.485985,-71.520985
1720,42.483953,-71.438495
1721,42.257755,-71.473526
1730,42.499332,-71.281901
1731,42.464648,-71.28483
1740,42.439933,-71.601885
1741,42.536807,-71.361324
1742,42.462911,-71.364496
1745,42.292114,-71.499197
1746,42.195951,-71.45343
1747,42.123007,-71.531404
1748,42.224096,-71.540489
1749,42.389071,-71.545864
1752,42.349617,-71.547214
1754,42.425955,-71.456256
1756,42.09387,-71.544519
1757,42.158692,-71.521419
1760,42.284822,-71.348811
1770,42.231947,-71.372963
1772,42.302877,-71.530828
1773,42.425506,-71.310812
1775,42.429688,-71.512514
1776,42.383367,-71.42107
1778,42.356275,-71.361942
1801,42.488703,-71.154383
1803,42.503227,-71.201713
1810,42.648044,-71.161751
1821,42.54933,-71.251725
1824,42.59079,-71.355182
1826,42.679723,-71.30068
1827,42.676149,-71.499772
1830,42.796313,-71.053436
1832,42.791114,-71.132859
1833,42.726226,-70.983318
1834,42.7539,-71.015935
1835,42.751327,-71.094421
1840,42.706763,-71.160403
1841,42.715079,-71.1483
1843,42.689988,-71.16039
1844,42.742641,-71.178651
1845,42.673909,-71.091334
1850,42.656045,-71.303309
1851,42.627999,-71.336757
1852,42.632978,-71.295616
1854,42.649481,-71.348229
1860,42.838603,-71.011997
1862,42.578543,-71.295592
1863,42.630484,-71.397895
1864,42.578401,-71.084448
1867,42.535183,-71.105423
1876,42.611893,-71.227226
1879,42.667762,-71.42882
1880,42.504361,-71.064061
1886,42.585541,-71.44025
1887,42.564647,-71.164516
1890,42.452752,-71.144319
1901,42.460419,-70.946379
1902,42.471039,-70.941535
1904,42.491447,-70.971441
1905,42.462378,-70.972343
1906,42.469675,-71.012785
1907,42.474145,-70.906597
1908,42.428234,-70.926071
1913,42.851277,-70.955792
1915,42.570442,-70.867693
1921,42.683108,-71.027188
1922,42.757313,-70.914241
1923,42.574174,-70.950516
1929,42.640451,-70.771165
1930,42.620291,-70.677956
1937,42.585723,-70.984051
1938,42.686464,-70.839594
1940,42.534146,-71.038333
1944,42.576636,-70.767154
1945,42.504317,-70.851542
1949,42.610322,-71.006295
1950,42.812358,-70.891095
1951,42.773351,-70.850211
1952,42.844794,-70.841499
1960,42.53431,-70.969443
1965,42.564101,-70.824723
1966,42.640699,-70.62025
1969,42.721495,-70.886637
