concept_id,condition_count,patient_count
35765982,20,20
35765983,20,20
35765984,20,20
35765985,20,20
35765986,20,20
35765987,20,20
35766099,20,20
35766298,20,20
35766299,20,20
35766300,20,20
35766390,20,20
35766391,20,20
35766409,20,20
35766576,20,20
35766596,20,20
35766775,20,20
35766777,20,20
35766962,20,20
35767177,20,20
35767212,20,20
35767213,20,20
35767245,20,20
35767246,20,20
35767377,20,20
35767378,20,20
35767379,20,20
35767380,20,20
35767381,20,20
35767756,20,20
35767757,20,20
35767897,20,20
35767898,20,20
35767899,20,20
35767900,20,20
35767901,20,20
35767902,20,20
35767903,20,20
35768305,20,20
35768306,20,20
35768605,20,20
35770130,20,20
35770131,20,20
35770132,20,20
35770133,20,20
35770134,20,20
35770135,20,20
35770136,20,20
35770137,20,20
35770138,20,20
35770139,20,20
35770221,20,20
35770222,20,20
35770283,20,20
35770284,20,20
35770285,20,20
35770286,20,20
35770287,20,20
35770288,20,20
35770289,20,20
35770290,20,20
35770433,20,20
35770487,20,20
35770598,20,20
35770721,20,20
35770739,20,20
35770755,20,20
35770886,20,20
35770887,20,20
35770888,20,20
35770911,20,20
35771094,20,20
35771129,20,20
35771205,20,20
35771523,20,20
35771524,20,20
35771525,20,20
35771554,20,20
35771555,20,20
35771577,20,20
35771722,20,20
35771723,20,20
35771725,20,20
35772110,20,20
35772112,20,20
35772113,20,20
35772114,20,20
35772115,20,20
35772252,20,20
35772253,20,20
35772254,20,20
35772255,20,20
35772256,20,20
35772257,20,20
35772259,20,20
35773618,20,20
35773619,20,20
35773620,20,20
35773621,20,20
35774391,20,20
35774392,20,20
35774393,20,20
35774394,20,20
35774395,20,20
35774396,20,20
35774397,20,20
35774398,20,20
35774399,20,20
35774400,20,20
35774481,20,20
35774482,20,20
35774483,20,20
35774558,20,20
35774559,20,20
35774560,20,20
35774561,20,20
35774562,20,20
35774563,20,20
35774564,20,20
35774565,20,20
35774566,20,20
35774567,20,20
35774568,20,20
35774637,20,20
35774655,20,20
35774668,20,20
35774751,20,20
35774757,20,20
35774758,20,20
35774804,20,20
35775120,20,20
35775125,20,20
35775313,20,20
35775314,20,20
35775664,20,20
35775665,20,20
35775666,20,20
35775667,20,20
35775844,20,20
35775845,20,20
35775846,20,20
35775847,20,20
35775956,20,20
35776221,20,20
35776265,20,20
35776346,20,20
35776494,20,20
35776527,20,20
35776528,20,20
35776631,20,20
35776633,20,20
35776907,20,20
35776908,20,20
35777050,20,20
35777051,20,20
35777331,20,20
35777332,20,20
35777483,20,20
35777639,20,20
35777766,20,20
35777767,20,20
35777965,20,20
35778057,20,20
35778595,20,20
35779091,20,20
35780053,20,20
35780434,20,20
35780435,20,20
35780436,20,20
35780548,20,20
35781046,20,20
35781047,20,20
35781108,20,20
35783541,20,20
35783544,20,20
35783575,20,20
35783581,20,20
35783608,20,20
35783609,20,20
35783631,20,20
35783632,20,20
35783692,20,20
35786169,20,20
35786194,20,20
35786264,20,20
35786410,20,20
35786662,20,20
35786663,20,20
35786828,20,20
35787385,20,20
35787386,20,20
35789926,20,20
35790194,20,20
35790196,20,20
35790207,20,20
35790208,20,20
35790276,20,20
35790302,20,20
35790360,20,20
35790370,20,20
35790445,20,20
35790476,20,20
35790536,20,20
35790622,20,20
35790628,20,20
